prdt_type,campaign_month,milestone,cust_segment,total_customers,expected_responses,avg_score
Prdt-2,DECEMBER,12 Months,Recall-TG,6,6.0,1.0
Prdt-2,JANUARY,12 Months,Recall-TG,6,6.0,1.0
Prdt-2,NOVEMBER,12 Months,Recall-TG,6,5.99,0.9983333333333334
Prdt-2,NOVEMBER,15 Months,Recall-TG,6,5.99,0.9983333333333334
Prdt-2,NOVEMBER,21 Months,Recall-TG,6,5.9775,0.99625
Prdt-2,DECEMBER,18 Months,Recall-TG,7,5.926214285714283,0.8466020408163262
Prdt-2,DECEMBER,24 Months,Recall-TG,7,5.888336940836942,0.8411909915481346
Prdt-2,NOVEMBER,18 Months,Recall-TG,7,5.829322510822512,0.8327603586889303
Prdt-2,JANUARY,24 Months,Recall-TG,7,5.7929590409590395,0.8275655772798628
Prdt-2,NOVEMBER,24 Months,Recall-TG,7,5.744454545454545,0.8206363636363635
Prdt-2,JANUARY,18 Months,Recall-TG,7,5.709829004329002,0.815689857761286
Prdt-2,DECEMBER,12 Months,Recall-CG,6,5.66,0.9433333333333334
Prdt-2,JANUARY,12 Months,Recall-CG,6,5.020238095238096,0.8367063492063492
Prdt-2,JANUARY,15 Months,Recall-TG,6,4.955357142857142,0.8258928571428571
Prdt-2,DECEMBER,24 Months,Recall-CG,7,4.826071428571429,0.6894387755102042
Prdt-2,DECEMBER,15 Months,Recall-TG,6,4.693412698412699,0.7822354497354498
Prdt-2,JANUARY,27 Months,Recall-TG,6,4.531468253968255,0.7552447089947091
Prdt-2,NOVEMBER,27 Months,Recall-TG,6,4.523595238095238,0.7539325396825397
Prdt-2,DECEMBER,27 Months,Recall-TG,6,4.516460317460317,0.7527433862433862
Prdt-2,JANUARY,21 Months,Recall-TG,6,4.352738095238095,0.7254563492063492
Prdt-2,DECEMBER,27 Months,Recall-CG,6,4.10860064935065,0.684766774891775
Prdt-2,JANUARY,18 Months,Recall-CG,7,4.092484515484514,0.5846406450692163
Prdt-2,DECEMBER,15 Months,Recall-CG,6,4.024048312798313,0.6706747187997188
Prdt-2,OCTOBER,18 Months,EG Recall Leased-TG,4,4.0,1.0
Prdt-2,OCTOBER,15 Months,RecallNONFirstSight-TG,4,3.96,0.99
Prdt-2,NOVEMBER,12 Months,Recall-CG,6,3.9597564935064926,0.6599594155844154
Prdt-2,OCTOBER,24 Months,EG Recall Leased-TG,4,3.92,0.98
Prdt-2,OCTOBER,12 Months,RecallNONFirstSight-TG,4,3.8153333333333337,0.9538333333333334
Prdt-2,DECEMBER,21 Months,Recall-TG,6,3.7155,0.61925
Prdt-2,NOVEMBER,18 Months,Recall-CG,7,3.660406926406926,0.5229152752009895
Prdt-2,JANUARY,24 Months,Recall-CG,7,3.079480519480519,0.439925788497217
Prdt-1,JANUARY,18 Months,Recall-TG,3,2.9771428571428573,0.9923809523809525
Prdt-1,NOVEMBER,15 Months,Recall-TG,3,2.96,0.9866666666666667
Prdt-1,NOVEMBER,12 Months,Recall-TG,3,2.95,0.9833333333333334
Prdt-1,JANUARY,12 Months,Recall-TG,3,2.95,0.9833333333333334
Prdt-1,DECEMBER,18 Months,Recall-TG,3,2.9480000000000004,0.9826666666666668
Prdt-1,NOVEMBER,18 Months,Recall-TG,3,2.91,0.9700000000000001
Prdt-1,NOVEMBER,21 Months,Recall-TG,3,2.91,0.9700000000000001
Prdt-1,DECEMBER,12 Months,Recall-TG,3,2.9,0.9666666666666667
Prdt-1,DECEMBER,15 Months,Recall-TG,3,2.893555555555556,0.9645185185185187
Prdt-1,DECEMBER,21 Months,Recall-TG,3,2.8480000000000003,0.9493333333333335
Prdt-1,JANUARY,15 Months,Recall-TG,3,2.8321190476190474,0.9440396825396825
Prdt-1,JANUARY,21 Months,Recall-TG,3,2.827,0.9423333333333334
Prdt-1,DECEMBER,24 Months,Recall-TG,3,2.7319444444444443,0.9106481481481481
Prdt-2,JANUARY,15 Months,Recall-CG,6,2.6933333333333334,0.4488888888888889
Prdt-2,OCTOBER,24 Months,NVIPC640-EG SV Rec,4,2.66,0.665
Prdt-1,JANUARY,24 Months,Recall-TG,3,2.6234149184149183,0.8744716394716394
Prdt-2,NOVEMBER,15 Months,Recall-CG,6,2.5253517316017318,0.4208919552669553
Prdt-2,DECEMBER,18 Months,Recall-CG,7,2.4721904761904767,0.35317006802721096
Prdt-2,NOVEMBER,21 Months,Recall-CG,6,2.4140476190476194,0.4023412698412699
Prdt-2,OCTOBER,18 Months,NVIPC651-TX/NV/CA,4,2.26,0.565
Prdt-1,NOVEMBER,24 Months,Recall-TG,3,2.251911976911977,0.7506373256373257
Prdt-1,DECEMBER,27 Months,Recall-TG,3,2.2416666666666667,0.7472222222222222
Prdt-1,NOVEMBER,27 Months,Recall-TG,3,2.21,0.7366666666666667
Prdt-2,OCTOBER,24 Months,NVIPC645-EG MV Rec,4,2.2,0.55
Prdt-1,JANUARY,27 Months,Recall-TG,3,2.197619047619048,0.7325396825396826
Prdt-2,NOVEMBER,24 Months,Recall-CG,7,2.1705476190476185,0.31007823129251694
Prdt-2,OCTOBER,18 Months,NVIPC640-EG SV Rec,4,2.14,0.535
Prdt-2,OCTOBER,24 Months,EG Recall Leased-CG,4,2.117523809523809,0.5293809523809523
Prdt-2,OCTOBER,18 Months,NVIPC644-EG MV Rec,4,2.0999999999999996,0.5249999999999999
Prdt-1,DECEMBER,12 Months,Recall-CG,3,2.0833333333333335,0.6944444444444445
Prdt-2,OCTOBER,24 Months,NVIPC651-TX/NV/CA,4,2.08,0.52
Prdt-2,OCTOBER,24 Months,NVIPC644-EG MV Rec,4,2.04,0.51
Prdt-2,OCTOBER,24 Months,NVIPC650-EG SV Rec,4,2.02,0.505
Prdt-1,DECEMBER,15 Months,Recall-CG,3,2.010952380952381,0.6703174603174603
Prdt-2,DECEMBER,18 Months,NVIPC651-Recall-TG,2,2.0,1.0
Prdt-2,JANUARY,18 Months,NVIPC651-Recall-TG,2,2.0,1.0
Prdt-2,NOVEMBER,24 Months,NVIPC651-Recall-TG,2,2.0,1.0
Prdt-2,OCTOBER,15 Months,Recall First Sight-TG,2,2.0,1.0
Prdt-2,OCTOBER,18 Months,Recall Employed-TG,2,2.0,1.0
Prdt-2,OCTOBER,12 Months,Recall Employed-TG,2,2.0,1.0
Prdt-2,JANUARY,24 Months,NVIPC640-Recall-TG,2,2.0,1.0
Prdt-2,OCTOBER,24 Months,NVIPC646-TX/NV EG,4,2.0,0.5
Prdt-2,OCTOBER,18 Months,NVIPC650-EG SV Rec,4,2.0,0.5
Prdt-2,JUNE,12 Months,EGRecall12NONFS,2,2.0,1.0
Prdt-2,AUGUST,24 Months,EGRecall24NONFS,2,2.0,1.0
Prdt-2,NOVEMBER,24 Months,NVIPC650-Recall-TG,2,2.0,1.0
Prdt-2,OCTOBER,15 Months,EG Recall Leased-TG,2,2.0,1.0
