prdt_type,brand,milestone,target_group,campaign_month,selected_qty,mailed_count,response_count,response_sales_amt,cust_segment,response_rate_percentage,sales_per_mailed
Prdt-1,B,12 Months,Targeted,AUGUST,809,809,98,23323.47,CLClubInvite12,12.11372064276885,28.830000000000002
Prdt-1,B,12 Months,Control,AUGUST,90,90,3,686.98,CLClubInvite12Control,3.3333333333333335,7.633111111111111
Prdt-1,B,12 Months,Targeted,AUGUST,1769,1769,142,30641.22,CLRecall12,8.027133973996609,17.32120972300735
Prdt-1,B,12 Months,Control,AUGUST,196,196,16,3261.56,CLRecall12Control,8.16326530612245,16.64061224489796
Prdt-1,B,12 Months,Targeted,AUGUST,205,205,16,2848.48,CLRecallTXandCA12,7.804878048780488,13.895024390243902
Prdt-1,B,12 Months,Control,AUGUST,23,23,0,0.0,CLRecallTXandCA12Control,0.0,0.0
Prdt-1,B,12 Months,Targeted,AUGUST,797,797,108,16939.94,ClubReminder12,13.55081555834379,21.254629861982433
Prdt-1,B,12 Months,Control,AUGUST,88,88,12,1046.95,ClubReminder12Control,13.636363636363635,11.897159090909092
Prdt-1,B,15 Months,Targeted,AUGUST,548,548,36,7429.22,CLClubInvite15,6.569343065693431,13.55697080291971
Prdt-1,B,15 Months,Control,AUGUST,61,61,4,1114.86,CLClubInvite15Control,6.557377049180328,18.27639344262295
Prdt-1,B,15 Months,Targeted,AUGUST,1348,1348,63,13385.34,CLRecall15,4.673590504451038,9.929777448071217
Prdt-1,B,15 Months,Control,AUGUST,150,150,8,1959.94,CLRecall15Control,5.333333333333334,13.066266666666667
Prdt-1,B,15 Months,Targeted,AUGUST,127,127,7,1425.66,CLRecallTXandCA15,5.511811023622047,11.225669291338583
Prdt-1,B,15 Months,Control,AUGUST,14,14,0,0.0,CLRecallTXandCA15Control,0.0,0.0
Prdt-1,B,15 Months,Targeted,AUGUST,535,535,55,6953.19,ClubReminder15,10.2803738317757,12.996616822429905
Prdt-1,B,15 Months,Control,AUGUST,59,59,7,559.75,ClubReminder15Control,11.864406779661017,9.48728813559322
Prdt-1,B,18 Months,Targeted,AUGUST,550,550,21,5631.58,CLClubInvite18,3.8181818181818183,10.239236363636364
Prdt-1,B,18 Months,Control,AUGUST,61,61,3,583.62,CLClubInvite18Control,4.918032786885246,9.567540983606557
Prdt-1,B,18 Months,Targeted,AUGUST,1248,1248,33,6850.25,CLRecall18,2.644230769230769,5.488982371794871
Prdt-1,B,18 Months,Control,AUGUST,139,139,1,159.98,CLRecall18Control,0.7194244604316548,1.1509352517985612
Prdt-1,B,18 Months,Targeted,AUGUST,128,128,5,1427.6,CLRecallTXandCA18,3.90625,11.153125
Prdt-1,B,18 Months,Control,AUGUST,14,14,1,141.98,CLRecallTXandCA18Control,7.142857142857142,10.141428571428571
Prdt-1,B,18 Months,Targeted,AUGUST,482,482,38,3242.91,ClubReminder18,7.883817427385892,6.7280290456431535
Prdt-1,B,18 Months,Control,AUGUST,54,54,0,0.0,ClubReminder18Control,0.0,0.0
Prdt-1,B,21 Months,Targeted,AUGUST,300,300,12,3423.88,CLClubInvite21,4.0,11.412933333333333
Prdt-1,B,21 Months,Control,AUGUST,34,34,1,318.92,CLClubInvite21Control,2.941176470588235,9.38
Prdt-1,B,21 Months,Targeted,AUGUST,716,716,24,5351.75,CLRecall21,3.35195530726257,7.474511173184357
Prdt-1,B,21 Months,Control,AUGUST,80,80,1,190.0,CLRecall21Control,1.25,2.375
Prdt-1,B,21 Months,Targeted,AUGUST,68,68,1,155.56,CLRecallTXandCA21,1.4705882352941175,2.2876470588235294
Prdt-1,B,21 Months,Control,AUGUST,7,7,0,0.0,CLRecallTXandCA21Control,0.0,0.0
Prdt-1,B,21 Months,Targeted,AUGUST,205,205,21,2396.77,ClubReminder21,10.24390243902439,11.691560975609756
Prdt-1,B,21 Months,Control,AUGUST,23,23,2,59.09,ClubReminder21Control,8.695652173913043,2.569130434782609
Prdt-1,B,24 Months,Targeted,AUGUST,464,464,13,2406.99,CLClubInvite24,2.8017241379310347,5.187478448275861
Prdt-1,B,24 Months,Control,AUGUST,52,52,3,587.53,CLClubInvite24Control,5.769230769230769,11.298653846153845
Prdt-1,B,24 Months,Targeted,AUGUST,1021,1021,21,4528.5,CLRecall24,2.056807051909892,4.43535749265426
Prdt-1,B,24 Months,Control,AUGUST,113,113,2,229.96,CLRecall24Control,1.7699115044247788,2.0350442477876105
Prdt-1,B,24 Months,Targeted,AUGUST,96,96,3,648.78,CLRecallTXandCA24,3.125,6.758125
Prdt-1,B,24 Months,Control,AUGUST,11,11,0,0.0,CLRecallTXandCA24Control,0.0,0.0
Prdt-1,B,24 Months,Targeted,AUGUST,278,278,21,4324.74,ClubReminder24,7.553956834532374,15.556618705035971
Prdt-1,B,24 Months,Control,AUGUST,31,31,1,383.92,ClubReminder24Control,3.225806451612903,12.384516129032258
Prdt-1,B,24 Months,Targeted,AUGUST,239,239,16,1841.71,ClubReminder27,6.694560669456067,7.705899581589958
Prdt-1,B,24 Months,Control,AUGUST,26,26,2,789.56,ClubReminder27Control,7.6923076923076925,30.367692307692305
Prdt-1,B,12 Months,Control,DECEMBER,376,95,6,1659.02,NVIPC634-Recall-CG,6.315789473684211,17.463368421052632
Prdt-1,B,12 Months,Targeted,DECEMBER,6794,900,145,39228.71,NVIPC634-Recall-TG,16.11111111111111,43.58745555555556
Prdt-1,B,12 Months,Control,DECEMBER,1804,228,26,6756.95,NVIPC635-Recall-CG,11.403508771929824,29.635745614035088
Prdt-1,B,12 Months,Targeted,DECEMBER,16278,2182,264,59768.56,NVIPC635-Recall-TG,12.098991750687443,27.391640696608615
Prdt-1,B,12 Months,Control,DECEMBER,101,35,2,271.98,NVIPC636-Recall-CG,5.714285714285714,7.770857142857143
Prdt-1,B,12 Months,Targeted,DECEMBER,1858,237,18,5885.83,NVIPC636-Recall-TG,7.59493670886076,24.834725738396624
Prdt-1,B,12 Months,Control,DECEMBER,321,68,12,1257.72,NVIPC637-ClubRecal,17.647058823529413,18.495882352941177
Prdt-1,B,12 Months,Targeted,DECEMBER,5804,564,103,12924.91,NVIPC637-ClubRecal,18.26241134751773,22.916507092198582
Prdt-1,B,15 Months,Control,DECEMBER,376,69,5,1438.15,NVIPC634-Recall-CG,7.246376811594203,20.842753623188408
Prdt-1,B,15 Months,Targeted,DECEMBER,3397,615,49,11097.26,NVIPC634-Recall-TG,7.967479674796748,18.044325203252033
Prdt-1,B,15 Months,Control,DECEMBER,902,172,7,1664.33,NVIPC635-Recall-CG,4.069767441860465,9.676337209302325
Prdt-1,B,15 Months,Targeted,DECEMBER,8139,1580,69,15149.06,NVIPC635-Recall-TG,4.367088607594936,9.588012658227848
Prdt-1,B,15 Months,Control,DECEMBER,101,10,1,298.21,NVIPC636-Recall-CG,10.0,29.820999999999998
Prdt-1,B,15 Months,Targeted,DECEMBER,929,195,6,1317.92,NVIPC636-Recall-TG,3.076923076923077,6.758564102564103
Prdt-1,B,15 Months,Control,DECEMBER,321,54,9,1044.82,NVIPC637-ClubRecal,16.666666666666664,19.348518518518517
Prdt-1,B,15 Months,Targeted,DECEMBER,2902,549,53,5694.72,NVIPC637-ClubRecal,9.65391621129326,10.372896174863389
Prdt-1,B,18 Months,Control,DECEMBER,376,81,2,504.99,NVIPC634-Recall-CG,2.4691358024691357,6.234444444444445
Prdt-1,B,18 Months,Targeted,DECEMBER,3397,639,43,9502.09,NVIPC634-Recall-TG,6.729264475743349,14.870250391236308
Prdt-1,B,18 Months,Control,DECEMBER,902,172,7,1988.96,NVIPC635-Recall-CG,4.069767441860465,11.563720930232558
Prdt-1,B,18 Months,Targeted,DECEMBER,8139,1456,82,17569.51,NVIPC635-Recall-TG,5.631868131868132,12.066971153846152
Prdt-1,B,18 Months,Control,DECEMBER,101,27,0,0.0,NVIPC636-Recall-CG,0.0,0.0
Prdt-1,B,18 Months,Targeted,DECEMBER,929,162,5,909.72,NVIPC636-Recall-TG,3.0864197530864197,5.615555555555556
Prdt-1,B,18 Months,Control,DECEMBER,321,64,6,1414.64,NVIPC637-ClubRecal,9.375,22.10375
Prdt-1,B,18 Months,Targeted,DECEMBER,2902,573,64,8255.86,NVIPC637-ClubRecal,11.169284467713787,14.408132635253056
Prdt-1,B,21 Months,Control,DECEMBER,376,81,4,698.94,NVIPC634-Recall-CG,4.938271604938271,8.62888888888889
Prdt-1,B,21 Months,Targeted,DECEMBER,3397,708,40,11286.11,NVIPC634-Recall-TG,5.649717514124294,15.940833333333334
Prdt-1,B,21 Months,Control,DECEMBER,902,195,2,287.98,NVIPC635-Recall-CG,1.0256410256410255,1.476820512820513
Prdt-1,B,21 Months,Targeted,DECEMBER,8139,1632,79,16755.1,NVIPC635-Recall-TG,4.840686274509804,10.266605392156862
Prdt-1,B,21 Months,Control,DECEMBER,101,16,1,229.95,NVIPC636-Recall-CG,6.25,14.371875
Prdt-1,B,21 Months,Targeted,DECEMBER,929,210,4,850.47,NVIPC636-Recall-TG,1.9047619047619049,4.049857142857143
Prdt-1,B,21 Months,Control,DECEMBER,321,65,5,807.71,NVIPC637-ClubRecal,7.6923076923076925,12.426307692307693
Prdt-1,B,21 Months,Targeted,DECEMBER,2902,589,39,2884.56,NVIPC637-ClubRecal,6.621392190152801,4.897385398981324
Prdt-1,B,24 Months,Control,DECEMBER,376,50,1,244.99,NVIPC634-Recall-CG,2.0,4.8998
Prdt-1,B,24 Months,Targeted,DECEMBER,3397,522,16,4706.42,NVIPC634-Recall-TG,3.065134099616858,9.016130268199234
Prdt-1,B,24 Months,Control,DECEMBER,902,135,5,1940.13,NVIPC635-Recall-CG,3.7037037037037033,14.371333333333334
Prdt-1,B,24 Months,Targeted,DECEMBER,8139,1276,52,13428.05,NVIPC635-Recall-TG,4.075235109717868,10.52355015673981
Prdt-1,B,24 Months,Control,DECEMBER,101,13,1,40.0,NVIPC636-Recall-CG,7.6923076923076925,3.076923076923077
Prdt-1,B,24 Months,Targeted,DECEMBER,929,112,1,489.92,NVIPC636-Recall-TG,0.8928571428571428,4.3742857142857146
Prdt-1,B,24 Months,Control,DECEMBER,642,70,3,251.74,NVIPC637-ClubRecal,4.285714285714286,3.5962857142857145
Prdt-1,B,24 Months,Targeted,DECEMBER,5804,614,45,5826.99,NVIPC637-ClubRecal,7.32899022801303,9.490211726384365
Prdt-1,B,12 Months,Control,JANUARY,714,110,18,5337.16,NVIPC634-Recall-CG,16.363636363636363,48.519636363636366
Prdt-1,B,12 Months,Targeted,JANUARY,6470,914,115,30921.26,NVIPC634-Recall-TG,12.582056892778992,33.83070021881838
Prdt-1,B,12 Months,Control,JANUARY,872,108,8,1178.68,NVIPC635-Recall-CG,7.4074074074074066,10.913703703703705
Prdt-1,B,12 Months,Targeted,JANUARY,7888,1054,118,21043.46,NVIPC635-Recall-TG,11.195445920303605,19.965332068311195
Prdt-1,B,12 Months,Control,JANUARY,113,32,3,586.94,NVIPC636-Recall-CG,9.375,18.341875
Prdt-1,B,12 Months,Targeted,JANUARY,2076,288,26,6325.85,NVIPC636-Recall-TG,9.027777777777777,21.964756944444446
Prdt-1,B,12 Months,Control,JANUARY,644,91,18,1865.33,NVIPC637-ClubRecal,19.78021978021978,20.498131868131868
Prdt-1,B,12 Months,Targeted,JANUARY,5824,644,108,14920.51,NVIPC637-ClubRecal,16.77018633540373,23.168493788819877
Prdt-1,B,15 Months,Control,JANUARY,357,67,4,714.45,NVIPC634-Recall-CG,5.970149253731343,10.663432835820895
Prdt-1,B,15 Months,Targeted,JANUARY,3235,622,38,9954.3,NVIPC634-Recall-TG,6.109324758842444,16.00369774919614
Prdt-1,B,15 Months,Control,JANUARY,436,86,4,796.89,NVIPC635-Recall-CG,4.651162790697675,9.266162790697674
Prdt-1,B,15 Months,Targeted,JANUARY,3944,758,46,9170.32,NVIPC635-Recall-TG,6.068601583113456,12.098047493403694
Prdt-1,B,15 Months,Control,JANUARY,113,17,2,821.45,NVIPC636-Recall-CG,11.76470588235294,48.32058823529412
Prdt-1,B,15 Months,Targeted,JANUARY,1038,229,13,1608.0,NVIPC636-Recall-TG,5.676855895196507,7.021834061135372
Prdt-1,B,15 Months,Control,JANUARY,322,59,8,1331.22,NVIPC637-ClubRecal,13.559322033898304,22.563050847457628
